City,Average Rent (INR/month),Food Cost (INR/month),Internet Speed (Mbps),Healthcare Rating,Safety Score,Happiness Index,months_covered,cost_one_person_inr,rent_one_person_inr,monthly_salary_after_tax_inr,income_after_rent_inr,rent_difference_inr,rent_difference_percent
Raipur,5794,4326,20.84,7.2,8.8,4.2,0.8,39099.39,14409.66,29873.69,15464.03,8615.66,148.69968933379357
Kota,8689,7000,24.73,4.4,6.1,4.4,1.1,25480.5,10104.34,31718.83,21614.49,1415.3400000000001,16.288870986304524
Guwahati,9049,6775,139.47,5.0,8.6,4.5,1.0,30576.6,9665.02,31103.79,21438.77,616.0200000000004,6.807603050060786
Chandigarh,17284,6337,121.46,5.9,5.3,5.7,0.9,37517.84,12213.07,29082.92,16869.85,-5070.93,29.338868317519097
Solapur,7870,5379,123.75,6.2,4.8,4.4,1.5,29873.69,7389.35,38396.48,31007.14,-480.64999999999964,6.107369758576869
Bareilly,6905,7143,99.5,8.3,5.8,4.8,1.5,25480.5,7881.38,37517.84,29636.46,976.3800000000001,14.140188269370025
Moradabad,5195,3970,98.21,7.8,6.8,7.5,1.7,25480.5,7002.74,43141.13,36138.38,1807.7399999999998,34.79769008662175
Mysuru,4578,5648,20.35,6.7,4.5,8.0,1.5,26007.68,9752.88,46655.68,36902.8,5174.879999999999,113.03800786369591
Tiruchirappalli,4540,3104,53.59,7.7,3.3,6.9,0.9,26359.14,8962.11,24514.0,15551.89,4422.110000000001,97.40330396475773
Tiruppur,4809,4759,121.27,5.2,8.9,7.3,1.2,30313.01,12564.52,36463.48,23898.95,7755.52,161.27095030151798
Gurgaon,5961,6714,82.17,4.8,2.2,5.2,0.9,45161.99,18890.72,40680.94,21790.22,12929.720000000001,216.90521724542867
Aligarh,8127,7770,87.49,5.0,4.2,8.4,0.8,28292.14,7248.76,21790.22,14541.46,-878.2399999999998,10.806447643656943
Jalandhar,9956,3738,80.32,6.5,4.7,8.1,1.4,29610.1,9928.61,40417.35,30488.74,-27.389999999999418,0.2751104861390058
Bhubaneswar,6000,4836,77.18,7.3,3.0,5.0,1.1,25480.5,10895.11,36814.93,25919.82,4895.110000000001,81.58516666666668
Salem,7058,5669,99.27,8.5,6.4,6.2,1.3,30313.01,7389.35,32948.92,25559.58,331.35000000000036,4.694672711816384
Warangal,8601,5114,110.95,5.7,4.3,4.8,1.3,31455.24,15991.21,42174.62,26183.41,7390.209999999999,85.92268340890593
Jalgaon,5933,6345,97.87,8.1,4.7,6.8,1.5,26622.73,9752.88,39099.39,29346.51,3819.879999999999,64.38361705713803
Kurnool,6829,7104,29.67,7.8,8.1,7.5,1.8,25480.5,11246.57,55617.79,44371.22,4417.57,64.6883877580905
Ujjain,7713,7967,112.24,6.8,7.4,4.1,1.1,42789.67,6115.32,25656.23,19540.91,-1597.6800000000003,20.714119019836644
Sangli,5366,4260,107.74,8.6,3.7,6.8,0.8,26095.55,8136.19,20823.72,12687.53,2770.1899999999996,51.624860231084604
Belagavi,4557,7332,79.6,4.3,5.9,7.6,0.5,40680.94,21965.95,21175.18,-790.77,17408.95,382.0265525565065
Mangaluru,5254,3650,38.95,4.9,2.5,6.0,0.5,30225.15,14146.07,18890.72,4744.65,8892.07,169.24381423677198
Thiruvananthapuram,8985,7843,76.69,4.5,7.1,6.5,0.7,56760.01,11158.7,19945.08,8786.38,2173.7000000000007,24.19254312743462
Nellore,6394,6636,109.1,8.2,2.9,6.4,0.8,22053.81,26534.87,36727.07,10192.2,20140.87,314.99640287769785
Bikaner,6532,3248,59.56,4.1,7.8,7.7,1.3,25480.5,8232.84,32246.01,24013.18,1700.8400000000001,26.038579301898352
Agartala,6687,7225,45.95,5.1,6.6,6.2,1.1,31806.7,8874.24,34003.29,25129.05,2187.24,32.7088380439659
Pondicherry,5954,4414,116.89,5.6,3.2,4.6,1.3,28731.46,11246.57,36990.66,25744.09,5292.57,88.89099764863957
Anantapur,6136,6981,65.34,5.8,5.2,6.9,1.7,30313.01,11949.48,50170.23,38220.75,5813.48,94.74380704041721
Gaya,7792,7826,55.08,4.4,4.3,4.5,1.4,26095.55,8707.3,35233.38,26526.08,915.2999999999993,11.746663244353174
Jamshedpur,7394,7042,52.58,8.5,3.1,7.4,0.6,30576.6,8962.11,17484.9,8522.79,1568.1100000000006,21.207871246956998
Bhilai,7819,4222,78.58,7.5,5.2,7.7,1.2,28116.42,7494.78,31718.83,24224.05,-324.22000000000025,4.146566057040546
Cuttack,5023,5695,70.94,6.7,4.0,6.7,0.6,27413.51,10280.06,17660.62,7380.56,5257.0599999999995,104.65976508062909
Kochi,8343,7878,142.01,8.7,8.2,7.3,0.9,56760.01,11773.75,29610.1,17836.35,3430.75,41.12129929282033
Bhavnagar,7236,4387,48.7,5.6,7.9,7.6,0.9,33563.97,8250.41,24074.68,15824.27,1014.4099999999999,14.018933112216692
Dehradun,4151,6937,111.31,8.1,5.5,5.1,0.6,37517.84,14058.21,19769.35,5711.15,9907.21,238.67044085762467
Durgapur,6907,5481,64.13,4.2,6.6,4.6,1.0,25392.64,8171.33,24777.59,16606.26,1264.33,18.305052844939915
Asansol,8167,7548,140.4,7.9,5.2,7.3,1.3,25129.05,7556.29,33651.84,26095.55,-610.71,7.477776417289091
Rourkela,6802,3780,108.61,4.3,5.4,7.2,1.3,28819.33,5860.52,33124.65,27264.14,-941.4799999999996,13.841223169655978
Nanded,4143,7793,110.56,4.1,5.4,8.1,1.1,23196.04,8777.59,32421.74,23644.15,4634.59,111.86555636012552
Kolhapur,7659,3492,98.03,6.5,5.9,7.2,0.9,27149.91,8232.84,24250.41,16017.57,573.8400000000001,7.492361927144538
Ajmer,8519,6213,91.33,5.2,7.8,4.9,1.3,24074.68,7714.44,31015.92,23301.48,-804.5600000000004,9.444300974292762
Gulbarga,9975,6030,108.04,8.2,2.8,6.5,1.1,26622.73,6194.4,24601.86,18407.47,-3780.6000000000004,37.90075187969925
Udaipur,4369,4887,43.71,7.6,3.2,5.4,1.1,33563.97,7310.27,29346.51,22036.24,2941.2700000000004,67.32135500114444
Jhansi,5246,4912,103.81,8.5,3.9,6.2,1.2,30313.01,11334.43,37254.25,25919.82,6088.43,116.05852077773542
Tirunelveli,7482,4232,95.53,6.9,2.1,6.8,0.9,56760.01,8092.26,20647.99,12555.74,610.2600000000002,8.156375300721736
Sikar,6639,4483,119.0,8.0,7.5,8.3,1.1,29434.37,10895.11,32333.88,21438.77,4256.110000000001,64.1076969423106
Guntur,7724,5544,103.43,5.3,5.3,4.3,0.9,24338.27,7099.4,22581.0,15481.6,-624.6000000000004,8.086483687208705
Muzaffarpur,5988,4581,43.44,8.8,8.3,4.1,1.2,30752.33,7969.25,29785.83,21816.58,1981.25,33.08700734802939
Satara,4378,6197,104.3,4.8,2.1,8.0,0.8,27237.78,6378.91,18451.4,12072.49,2000.9099999999999,45.70374600274098
Kollam,6086,7463,88.88,5.1,5.6,4.2,1.0,22229.54,6387.7,23020.32,16632.62,301.6999999999998,4.957279000985866
Shimoga,4847,3863,127.27,4.7,7.6,6.2,0.6,47007.13,10016.47,17836.35,7819.88,5169.469999999999,106.65298122550028
Mathura,4460,3362,134.42,5.6,5.4,6.3,1.7,25744.09,7406.92,43141.13,35734.21,2946.92,66.0744394618834
Hisar,6306,5896,69.57,6.1,2.5,5.9,2.1,23020.32,7758.37,48676.55,40918.17,1452.37,23.031557247066285
Imphal,7184,7560,123.96,4.0,4.1,4.5,0.5,28204.28,9049.97,17484.9,8434.92,1865.9699999999993,25.973969933184847
Aizawl,4984,6722,117.79,7.0,3.8,6.7,0.8,28204.28,12564.52,30488.74,17924.22,7580.52,152.09711075441413
Bilaspur,8531,5976,83.01,5.3,3.6,4.4,1.0,26447.0,12125.2,31367.38,19242.17,3594.2000000000007,42.131051459383436
Alwar,9346,4583,147.47,8.8,8.3,8.4,1.4,37517.84,6642.5,32246.01,25603.51,-2703.5,28.926813610100577
Patiala,6584,5098,96.07,7.4,3.7,7.4,1.3,37517.84,11510.16,39275.12,27764.96,4926.16,74.82017010935601
Rohtak,4263,6303,114.2,8.5,2.2,7.4,1.8,37517.84,5737.51,38835.8,33098.29,1474.5100000000002,34.58855266244429
Saharanpur,7692,4740,61.56,6.1,3.9,7.7,1.2,37517.84,9137.84,29258.65,20120.81,1445.8400000000001,18.796671866874675
Vellore,4963,7783,47.79,7.6,6.6,5.7,2.1,33563.97,5298.19,43580.44,38282.26,335.1899999999996,6.75377795688091
Kakinada,5634,6696,109.5,5.3,2.7,7.1,1.4,31894.56,7415.7,34969.79,27554.09,1781.6999999999998,31.62406815761448
Dibrugarh,4299,5786,77.65,7.8,6.9,7.1,0.8,35321.25,12125.2,27764.96,15639.76,7826.200000000001,182.04698767155153
Bardhaman,6847,4767,46.8,7.5,6.2,4.6,1.5,26534.87,8874.24,39802.3,30928.06,2027.2399999999998,29.60771140645538
Pathankot,5128,5404,95.24,7.4,2.6,6.5,1.3,27325.64,10807.25,40153.76,29346.51,5679.25,110.74980499219969
Porbandar,9405,3375,82.75,5.5,4.2,6.9,0.8,28995.05,10982.98,23811.09,12828.11,1577.9799999999996,16.77809675704412
Eluru,9967,5630,32.53,7.3,4.0,7.7,1.3,26183.41,7837.45,33739.7,25902.25,-2129.55,21.366007825825225
Chittoor,9828,5194,107.19,7.3,3.3,5.3,1.4,35145.52,7160.9,35496.98,28336.08,-2667.1000000000004,27.137769637769644
Kharagpur,8214,3843,137.2,5.3,3.0,6.8,1.5,24338.27,8390.99,35321.25,26930.25,176.98999999999978,2.1547358168979764
Nizamabad,4309,6330,134.34,4.9,2.4,6.8,1.0,32333.88,7951.67,26447.0,18495.33,3642.67,84.53631933163147
Purnia,8015,7471,95.6,6.0,2.6,6.2,1.0,24953.32,7547.5,25392.64,17845.14,-467.5,5.8328134747348725
Barasat,6992,7093,43.46,4.6,2.4,7.9,1.1,26447.0,10895.11,33476.11,22581.0,3903.1100000000006,55.822511441647606
Krishnanagar,8573,7099,55.88,6.8,5.9,5.4,1.5,23898.95,6422.84,35233.38,28810.54,-2150.16,25.080601889653565
Malda,5443,3188,25.51,8.0,2.8,5.9,1.4,24074.68,8707.3,35584.84,26877.54,3264.2999999999993,59.972441668197675
Midnapore,7451,6604,65.69,5.6,8.3,6.5,1.4,25216.91,8874.24,35057.66,26183.41,1423.2399999999998,19.101328680713994
Balurghat,5517,4844,45.25,8.6,5.4,8.2,1.1,26095.55,8786.38,29346.51,20560.13,3269.379999999999,59.2601051295994
